Gender,Age,Screen_Time,Sleep_Quality
Male,26,2.5,Good
Male,24,2.0,Good
Male,26,1.0,Bad
Female,24,3.0,Good
Male,26,3.0,Good
Male,26,1.0,Good
Male,25,2.0,Good
Male,27,3.0,Bad
Male,24,2.0,Bad
Male,24,2.0,Bad
Female,26,2.0,Good
Male,24,1.0,Bad
Female,25,2.5,Bad
Female,24,2.0,Bad
Male,25,3.0,Bad
Male,26,2.0,Good
Male,23,3.0,Bad
Male,27,2.0,Bad
Male,28,1.0,Good
Male,25,2.0,Bad
Male,27,1.0,Good
Male,26,0.5,Good
Male,25,1.0,Good
Male,24,2.0,Good
Male,24,4.0,Bad
Male,24,3.0,Bad
Male,26,2.0,Good
Male,25,3.0,Good
Male,27,2.0,Good
Male,24,2.0,Bad
